x,base_cdf,fp_monotone_cdf,fp_nonmonotone_cdf
-2.75,0.002994618594095346,0.0005570323379066383,0.0005135808326461477
-2.74,0.0030880907742714277,0.0005746623495832789,0.0005296209310011401
-2.73,0.0031841546991289117,0.000592794325567567,0.0005461067572767262
-2.7199999999999998,0.0032828723588648463,0.000611440953576438,0.0005630490692290521
-2.71,0.003384306918084509,0.0006306151965559788,0.0005804588376931616
-2.7,0.0034885227289745734,0.0006503302975870919,0.0005983472498474501
-2.69,0.003595585344357315,0.0006705997848633238,0.0006167257125385384
-2.6799999999999997,0.003705561530615962,0.0006914374767421874,0.0006356058556708629
-2.67,0.0038185192804811264,0.0007128574868713506,0.0006549995356656433
-2.66,0.00393452782566804,0.0007348742293911226,0.0006749188389942816
-2.65,0.0040536576493541455,0.0007575024242147229,0.0006953760857916553
-2.6399999999999997,0.004175980498486396,0.0007807571023878775,0.0007163838335552151
-2.63,0.004301569395907439,0.0008046536115293429,0.0007379548809362587
-2.62,0.004430498652289677,0.0008292076213540262,0.0007601022716302466
-2.61,0.004562843877866026,0.0008544351292804268,0.0007828392983735531
-2.5999999999999996,0.004698681993945997,0.0008803524661241992,0.0008061795070545907
-2.59,0.004838091244205583,0.0009069763018796945,0.0008301367009478407
-2.58,0.004981151205739243,0.0009343236515914212,0.0008547249450799296
-2.5700000000000003,0.005127942799862122,0.000962411881317427,0.0008799585707375459
-2.56,0.005278548302650487,0.000991258714186686,0.0009058521801276749
-2.55,0.005433051355208186,0.0010208822365526478,0.0009324206512013499
-2.54,0.005591536973646811,0.001051300904245189,0.0009596791426528748
-2.5300000000000002,0.005754091558767083,0.0010825335489232824,0.0009876430991072676
-2.52,0.005920802905428844,0.0011145993845307935,0.0010163282565095137
-2.51,0.0060917602115968875,0.0011475180138578848,0.0010457506477300842
-2.5,0.006267054087049768,0.0011813094352106114,0.0010759266084020992
-2.49,0.006446776561738539,0.0012159940491913719,0.00110687278300647
-2.48,0.006631021093782345,0.0012515926655929754,0.001138606131222361
-2.4699999999999998,0.006819882577087566,0.001288126510409175,0.0011711439345613503
-2.46,0.007013457348577224,0.0013256172329646216,0.0012045038033047719
-2.45,0.007211843195017152,0.0013640869131672866,0.0012387036837648482
-2.44,0.00741513935942544,0.0014035580688864964,0.001273761865891421
-2.4299999999999997,0.007623446547051492,0.001444053663459837,0.0013096969912473045
-2.42,0.007836866930911015,0.0014855971133322815,0.0013465280613765792
-2.41,0.008055504156863172,0.0015282122958309974,0.001384274446591469
-2.4,0.008279463348216054,0.0015719235570794121,0.0014229558952048213
-2.3899999999999997,0.008508851109846602,0.001616755720054202,0.0014625925432366382
-2.38,0.008743775531821046,0.0016627340927890058,0.001503204924624582
-2.37,0.00898434619250189,0.001709884476728756,0.001544813981969909
-2.36,0.009230674161127463,0.0017582331752386438,0.0015874410778518528
-2.3499999999999996,0.009482871999850012,0.00180780700227185,0.001631108006745103
-2.34,0.009741053765218359,0.0018586332912002808,0.0016758370075767018
-2.33,0.010005335009091034,0.0019107399038126786,0.0017216507769603887
-2.3200000000000003,0.010275832778965977,0.0019641552394845767,0.001768572483148196
-2.31,0.01055266561771275,0.002018908244524704,0.001816625780740896
-2.3,0.010835953562693337,0.0020750284217025496,0.0018658348262007678
-2.29,0.01112581814425765,0.0021325458399619247,0.0019162242942120178
-2.2800000000000002,0.011422382383599852,0.0021914911443254724,0.0019678193949361532
-2.27,0.011725770789961728,0.0022518955659952045,0.002020645892211543
-2.26,0.012036109357169415,0.0023137909326542408,0.002074730122748429
-2.25,0.012353525559489811,0.0023772096789750827,0.0021300990163726627
-2.24,0.012678148346793205,0.00244218485733982,0.0021867801173735216
-2.23,0.013010108139008679,0.002508750148777832,0.002244801607013033
-2.2199999999999998,0.013349536819858997,0.0025769398741266347,0.002304192327256336
-2.21,0.013696567729861829,0.0026467890054216294,0.0023649818057847397
-2.2,0.01405133565858433,0.0027183331775206565,0.0024272002823552638
-2.19,0.01441397683613817,0.0027916086999693213,0.0024908787365725735
-2.1799999999999997,0.014784628923902416,0.0028666525691131996,0.0025560489171413633
